country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","23-06-2026 11:00:00",26.446912,91.439057,PM10,23,76,37
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","23-06-2026 11:00:00",26.446912,91.439057,NO2,14,15,15
India,Assam,Silchar,"Tarapur, Silchar - PCBA","23-06-2026 11:00:00",24.82827,92.79525,NO2,15,17,16
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","23-06-2026 11:00:00",26.987634,94.636574,PM10,24,29,26
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","23-06-2026 11:00:00",26.987634,94.636574,OZONE,19,65,35
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","23-06-2026 11:00:00",25.5626095,84.663264,PM10,28,70,43
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","23-06-2026 11:00:00",25.5626095,84.663264,NH3,2,2,2
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","23-06-2026 11:00:00",25.5626095,84.663264,OZONE,6,12,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","23-06-2026 11:00:00",24.75746,84.366208,SO2,2,14,7
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.251013,86.989001,PM10,18,256,61
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.251013,86.989001,NO2,10,13,12
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.251013,86.989001,SO2,14,38,24
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.265194,87.012947,PM2.5,13,257,51
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.265194,87.012947,NO2,7,12,8
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.265194,87.012947,NH3,1,4,2
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","23-06-2026 11:00:00",25.265194,87.012947,OZONE,20,60,33
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","23-06-2026 11:00:00",25.567520,83.966379,NH3,3,3,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","23-06-2026 11:00:00",25.7808257,84.7446768,PM10,109,125,120
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","23-06-2026 11:00:00",25.7808257,84.7446768,NO2,2,3,2
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","23-06-2026 11:00:00",25.7808257,84.7446768,SO2,20,22,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","23-06-2026 11:00:00",25.7808257,84.7446768,OZONE,2,5,4
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","23-06-2026 11:00:00",24.7955,84.9994,OZONE,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","23-06-2026 11:00:00",24.792403,84.992416,OZONE,30,83,43
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","23-06-2026 11:00:00",24.762518,84.982348,CO,18,36,23
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","23-06-2026 11:00:00",25.697189,85.245900,NH3,15,24,21
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","23-06-2026 11:00:00",25.560083,87.553265,NH3,1,1,1
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-06-2026 11:00:00",16.9872867,81.7363176,PM10,40,80,62
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","23-06-2026 11:00:00",13.67,79.35,PM2.5,5,23,12
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","23-06-2026 11:00:00",13.67,79.35,PM10,7,155,78
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","23-06-2026 11:00:00",13.67,79.35,NH3,2,3,3
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","23-06-2026 11:00:00",13.615387,79.409230,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","23-06-2026 11:00:00",16.536107,80.594233,CO,26,31,29
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","23-06-2026 11:00:00",16.536107,80.594233,OZONE,23,34,27
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","23-06-2026 11:00:00",16.486692,80.699436,PM2.5,53,82,59
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","23-06-2026 11:00:00",16.486692,80.699436,SO2,11,25,17
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","23-06-2026 11:00:00",16.486692,80.699436,CO,16,28,16
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","23-06-2026 11:00:00",16.509717,80.612222,PM10,37,75,57
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","23-06-2026 11:00:00",26.63086,84.90051,NO2,3,4,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","23-06-2026 11:00:00",26.63086,84.90051,SO2,2,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB","23-06-2026 11:00:00",25.376776,86.471523,PM10,9,41,23
India,Bihar,Munger,"Town Hall, Munger - BSPCB","23-06-2026 11:00:00",25.376776,86.471523,SO2,39,49,44
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.11442,85.39813,SO2,2,15,7
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.11442,85.39813,OZONE,28,87,41
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.1403345,85.3650192,PM2.5,38,58,48
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","23-06-2026 11:00:00",26.1403345,85.3650192,PM10,44,69,58
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","23-06-2026 11:00:00",25.586562,85.043586,NO2,29,35,32
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-06-2026 11:00:00",25.592539,85.227158,PM10,53,121,92
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","23-06-2026 11:00:00",25.592539,85.227158,NO2,12,12,12
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","23-06-2026 11:00:00",21.258815,81.578979,PM10,8,40,18
